,Unnamed: 0,tweet_id,retweet_count,favorite_count
0,0,892420643555336193,8698,39116
1,1,892177421306343426,6385,33500
2,2,891815181378084864,4240,25247
3,3,891689557279858688,8797,42478
4,4,891327558926688256,9576,40636
5,5,891087950875897856,3178,20383
6,6,890971913173991426,2116,11950
7,7,890729181411237888,19274,66089
8,8,890609185150312448,4338,27986
9,9,890240255349198849,7566,32204
10,10,890006608113172480,7477,30870
11,11,889880896479866881,5061,27998
12,12,889665388333682689,10258,48366
13,13,889638837579907072,4632,27393
14,14,889531135344209921,2272,15216
15,15,889278841981685760,5546,25499
16,16,888917238123831296,4593,29312
17,17,888804989199671297,4447,25797
18,18,888554962724278272,3668,20094
19,19,888078434458587136,3583,21948
20,20,887705289381826560,5502,30435
21,21,887517139158093824,11886,46573
22,22,887473957103951883,18600,69682
23,23,887343217045368832,10594,33934
24,24,887101392804085760,6077,30802
25,25,886983233522544640,7924,35480
26,26,886736880519319552,3364,12185
27,27,886680336477933568,4551,22609
28,28,886366144734445568,3248,21294
29,29,886267009285017600,4,117
30,30,886258384151887873,6409,28196
31,31,886054160059072513,105,0
32,32,885984800019947520,6939,32993
33,33,885528943205470208,6559,36287
34,34,885518971528720385,3837,20581
35,35,885311592912609280,18928,0
36,36,885167619883638784,4459,22121
37,37,884925521741709313,18878,78202
38,38,884876753390489601,5964,28186
39,39,884562892145688576,5019,24508
40,40,884441805382717440,5766,27215
41,41,884247878851493888,20807,73567
42,42,884162670584377345,3048,20541
43,43,883838122936631299,3516,22079
44,44,883482846933004288,10182,46341
45,45,883360690899218434,3759,22732
46,46,883117836046086144,6805,37532
47,47,882992080364220416,4021,24142
48,48,882762694511734784,5016,28556
49,49,882627270321602560,6208,28101
50,50,882268110199369728,11834,45333
51,51,882045870035918850,5089,29591
52,52,881906580714921986,3454,24495
53,53,881666595344535552,10907,50989
54,54,881633300179243008,7,129
55,55,881536004380872706,16294,49857
56,56,881268444196462592,5249,23252
57,57,880935762899988482,2836,17146
58,58,880872448815771648,3908,21485
59,59,880465832366813184,6411,28756
60,60,880221127280381952,4329,27317
61,61,880095782870896641,4444,27843
62,62,879862464715927552,3573,22461
63,63,879674319642796034,10,314
64,64,879492040517615616,3256,23591
65,65,879415818425184262,45091,106803
66,66,879376492567855104,3178,16901
67,67,879130579576475649,7014,0
68,68,879050749262655488,4826,22777
69,69,879008229531029506,2748,19106
70,70,878776093423087618,4224,19536
71,71,878604707211726852,7413,30543
72,72,878404777348136964,1326,0
73,73,878316110768087041,6820,0
74,74,878281511006478336,1325,7829
75,75,878057613040115712,7014,42394
76,76,877736472329191424,19650,80732
77,77,877611172832227328,82,0
78,78,877556246731214848,3914,23007
79,79,877316821321428993,5312,27607
80,80,877201837425926144,5729,27387
81,81,876838120628539392,3447,20870
82,82,876537666061221889,4710,23612
83,83,876484053909872640,2466,18944
84,84,876120275196170240,4805,28154
85,85,875747767867523072,4402,25444
86,86,875144289856114688,5043,22131
87,87,875097192612077568,6210,27664
88,88,875021211251597312,4818,25730
89,89,874680097055178752,4764,28141
90,90,874434818259525634,15194,0
91,91,874296783580663808,4231,26328
92,92,874057562936811520,4059,22877
93,93,874012996292530176,10764,35065
94,94,873580283840344065,4049,24517
95,95,873337748698140672,1635,0
96,96,873213775632977920,1635,7365
97,97,872967104147763200,5561,27705
98,98,872820683541237760,3809,14876
99,99,872668790621863937,30,0
100,100,872620804844003328,3825,21053
101,101,872486979161796608,9252,41112
102,102,872261713294495745,6528,34681
103,103,872122724285648897,8376,34891
104,104,871879754684805121,11620,38607
105,105,871762521631449091,3589,20541
106,106,871515927908634625,3559,20505
107,107,871166179821445120,5880,0
108,108,871102520638267392,5661,21212
109,109,871032628920680449,3924,22994
110,110,870804317367881728,6440,34156
111,111,870726314365509632,3,120
112,112,870656317836468226,2755,12657
113,113,870374049280663552,27156,83993
114,114,870308999962521604,4298,22178
115,115,870063196459192321,8649,37307
116,116,869772420881756160,10443,43153
